Analysis id 1020	Stable id 1023	Band 1027
2	OTTHUMG00000002913	p36.33
2	OTTHUMG00000153395	p36.33
2	OTTHUMG00000002914	p36.33
2	OTTHUMG00000002915	p36.33
2	OTTHUMG00000002975	p36.33
2	OTTHUMG00000000531	p36.33
2	OTTHUMG00000000577	p36.33
2	OTTHUMG00000000575	p36.33
2	OTTHUMG00000042193	p36.33
2	OTTHUMG00000000576	p36.33
2	OTTHUMG00000154864	p36.33
2	OTTHUMG00000074647	p36.33
2	OTTHUMG00000074713	p36.33
2	OTTHUMG00000078638	p36.33
2	OTTHUMG00000078639	p36.33
2	OTTHUMG00000000585	p36.33
2	OTTHUMG00000000703	p36.33
2	OTTHUMG00000000824	p36.33
2	OTTHUMG00000000823	p36.33
2	OTTHUMG00000042091	p36.33
2	OTTHUMG00000000825	p36.33
2	OTTHUMG00000000942	p36.33
2	OTTHUMG00000000940	p36.33
2	OTTHUMG00000000941	p36.33
2	OTTHUMG00000000943	p36.33
2	OTTHUMG00000000944	p36.33
2	OTTHUMG00000000945	p36.33
2	OTTHUMG00000041065	p36.33
2	OTTHUMG00000041064	p36.33
2	OTTHUMG00000041087	p36.33
2	OTTHUMG00000001238	p36.33
2	OTTHUMG00000001239	p36.33
2	OTTHUMG00000001404	p36.33
2	OTTHUMG00000001406	p36.33
2	OTTHUMG00000001405	p36.33
2	OTTHUMG00000001407	p36.33
2	OTTHUMG00000001402	p36.32
2	OTTHUMG00000057495	p36.33
2	OTTHUMG00000001403	p36.32
2	OTTHUMG00000001637	p36.32
2	OTTHUMG00000001636	p36.32
2	OTTHUMG00000000719	p36.32
2	OTTHUMG00000000720	p36.32
2	OTTHUMG00000000721	p36.32
2	OTTHUMG00000000791	p36.32
2	OTTHUMG00000000793	p36.32
2	OTTHUMG00000000818	p36.32
2	OTTHUMG00000000792	p36.32
2	OTTHUMG00000158429	p36.32
2	OTTHUMG00000000819	p36.32
2	OTTHUMG00000000847	p36.32
2	OTTHUMG00000000846	p36.32
2	OTTHUMG00000039631	p36.32
2	OTTHUMG00000000539	p36.32
2	OTTHUMG00000000564	p36.32
2	OTTHUMG00000000565	p36.32
2	OTTHUMG00000000562	p36.32
2	OTTHUMG00000000563	p36.32
2	OTTHUMG00000000581	p36.32
2	OTTHUMG00000000624	p36.32
2	OTTHUMG00000000625	p36.32
2	OTTHUMG00000000611	p36.32
2	OTTHUMG00000000613	p36.32
2	OTTHUMG00000000609	p36.32
2	OTTHUMG00000000612	p36.32
2	OTTHUMG00000000610	p36.32
2	OTTHUMG00000041605	p36.32
2	OTTHUMG00000003412	p36.32
2	OTTHUMG00000003414	p36.32
2	OTTHUMG00000003413	p36.32
2	OTTHUMG00000003504	p36.32
2	OTTHUMG00000003505	p36.32
2	OTTHUMG00000003506	p36.32
2	OTTHUMG00000003507	p36.32
2	OTTHUMG00000003525	p36.32
2	OTTHUMG00000003739	p36.32
2	OTTHUMG00000041129	p36.32
2	OTTHUMG00000000499	p36.32
2	OTTHUMG00000000731	p36.32
2	OTTHUMG00000000732	p36.32
2	OTTHUMG00000000733	p36.32
2	OTTHUMG00000000646	p36.32
2	OTTHUMG00000000647	p36.32
2	OTTHUMG00000000645	p36.32
2	OTTHUMG00000041729	p36.32
2	OTTHUMG00000041453	p36.31
2	OTTHUMG00000000701	p36.31
2	OTTHUMG00000000795	p36.31
2	OTTHUMG00000000952	p36.31
2	OTTHUMG00000000953	p36.31
2	OTTHUMG00000041452	p36.31
2	OTTHUMG00000001089	p36.31
2	OTTHUMG00000001254	p36.31
2	OTTHUMG00000001255	p36.31
2	OTTHUMG00000001271	p36.31
2	OTTHUMG00000001272	p36.31
2	OTTHUMG00000001295	p36.31
2	OTTHUMG00000000752	p36.31
2	OTTHUMG00000000753	p36.31
2	OTTHUMG00000000769	p36.31
2	OTTHUMG00000000831	p36.31
2	OTTHUMG00000000905	p36.31
2	OTTHUMG00000000904	p36.31
2	OTTHUMG00000001442	p36.31
2	OTTHUMG00000001441	p36.31
2	OTTHUMG00000001438	p36.31
2	OTTHUMG00000001437	p36.31
2	OTTHUMG00000001439	p36.31
2	OTTHUMG00000001440	p36.31
2	OTTHUMG00000001443	p36.31
2	OTTHUMG00000001785	p36.31
2	OTTHUMG00000001213	p36.31
2	OTTHUMG00000001212	p36.31
2	OTTHUMG00000001214	p36.31
2	OTTHUMG00000001215	p36.31
2	OTTHUMG00000001217	p36.23
2	OTTHUMG00000001219	p36.23
2	OTTHUMG00000001220	p36.23
2	OTTHUMG00000001225	p36.23
2	OTTHUMG00000001216	p36.23
2	OTTHUMG00000001211	p36.23
2	OTTHUMG00000001218	p36.23
2	OTTHUMG00000001223	p36.23
2	OTTHUMG00000001210	p36.23
2	OTTHUMG00000001221	p36.23
2	OTTHUMG00000001222	p36.23
2	OTTHUMG00000001766	p36.23
2	OTTHUMG00000001224	p36.23
2	OTTHUMG00000001767	p36.23
2	OTTHUMG00000001769	p36.23
2	OTTHUMG00000001770	p36.23
2	OTTHUMG00000000503	p36.23
2	OTTHUMG00000001765	p36.23
2	OTTHUMG00000001772	p36.23
2	OTTHUMG00000001774	p36.23
2	OTTHUMG00000001775	p36.23
2	OTTHUMG00000001776	p36.23
2	OTTHUMG00000001777	p36.23
2	OTTHUMG00000001780	p36.23
2	OTTHUMG00000001773	p36.23
2	OTTHUMG00000001778	p36.23
2	OTTHUMG00000001779	p36.23
2	OTTHUMG00000001781	p36.23
2	OTTHUMG00000001759	p36.23
2	OTTHUMG00000001761	p36.23
2	OTTHUMG00000001763	p36.23
2	OTTHUMG00000057499	p36.23
2	OTTHUMG00000001771	p36.23
2	OTTHUMG00000001758	p36.23
2	OTTHUMG00000001762	p36.22
2	OTTHUMG00000001764	p36.22
2	OTTHUMG00000001768	p36.22
2	OTTHUMG00000001279	p36.22
2	OTTHUMG00000001278	p36.22
2	OTTHUMG00000001322	p36.22
2	OTTHUMG00000001323	p36.22
2	OTTHUMG00000057457	p36.22
2	OTTHUMG00000001450	p36.22
2	OTTHUMG00000001452	p36.22
2	OTTHUMG00000001453	p36.22
2	OTTHUMG00000001449	p36.22
2	OTTHUMG00000001451	p36.22
2	OTTHUMG00000001796	p36.22
2	OTTHUMG00000037769	p36.22
2	OTTHUMG00000001803	p36.22
2	OTTHUMG00000001804	p36.22
2	OTTHUMG00000001805	p36.22
2	OTTHUMG00000001799	p36.22
2	OTTHUMG00000001801	p36.22
2	OTTHUMG00000001798	p36.22
2	OTTHUMG00000001797	p36.22
2	OTTHUMG00000001800	p36.22
2	OTTHUMG00000001802	p36.22
2	OTTHUMG00000001817	p36.22
2	OTTHUMG00000001905	p36.22
2	OTTHUMG00000162436	p36.22
2	OTTHUMG00000059085	p36.22
2	OTTHUMG00000001906	p36.22
2	OTTHUMG00000001909	p36.22
2	OTTHUMG00000001907	p36.22
2	OTTHUMG00000001908	p36.22
2	OTTHUMG00000002035	p36.22
2	OTTHUMG00000002034	p36.22
2	OTTHUMG00000002032	p36.22
2	OTTHUMG00000002033	p36.22
2	OTTHUMG00000002120	p36.22
2	OTTHUMG00000002121	p36.22
2	OTTHUMG00000002119	p36.22
2	OTTHUMG00000002123	p36.22
2	OTTHUMG00000034707	p36.22
2	OTTHUMG00000002122	p36.22
2	OTTHUMG00000002001	p36.22
2	OTTHUMG00000002003	p36.22
2	OTTHUMG00000002002	p36.22
2	OTTHUMG00000002000	p36.22
2	OTTHUMG00000002075	p36.22
2	OTTHUMG00000002077	p36.22
2	OTTHUMG00000002073	p36.22
2	OTTHUMG00000002074	p36.22
2	OTTHUMG00000002076	p36.22
2	OTTHUMG00000002072	p36.22
2	OTTHUMG00000002071	p36.22
2	OTTHUMG00000002229	p36.22
2	OTTHUMG00000002231	p36.22
2	OTTHUMG00000002227	p36.22
2	OTTHUMG00000002230	p36.22
2	OTTHUMG00000002228	p36.22
2	OTTHUMG00000037775	p36.22
2	OTTHUMG00000002277	p36.22
2	OTTHUMG00000002299	p36.22
2	OTTHUMG00000002376	p36.22
2	OTTHUMG00000002377	p36.22
2	OTTHUMG00000002388	p36.22
2	OTTHUMG00000002389	p36.22
2	OTTHUMG00000002390	p36.22
2	OTTHUMG00000002391	p36.22
2	OTTHUMG00000002393	p36.22
2	OTTHUMG00000002392	p36.22
2	OTTHUMG00000002439	p36.22
2	OTTHUMG00000001827	p36.22
2	OTTHUMG00000001828	p36.22
2	OTTHUMG00000001829	p36.22
2	OTTHUMG00000004233	p36.22
2	OTTHUMG00000013155	p36.22
2	OTTHUMG00000013154	p36.22
2	OTTHUMG00000001885	p36.22
2	OTTHUMG00000001889	p36.21
2	OTTHUMG00000001886	p36.21
2	OTTHUMG00000001887	p36.21
2	OTTHUMG00000001888	p36.21
2	OTTHUMG00000001927	p36.21
2	OTTHUMG00000001928	p36.21
2	OTTHUMG00000041465	p36.21
2	OTTHUMG00000001929	p36.21
2	OTTHUMG00000001930	p36.21
2	OTTHUMG00000001931	p36.21
2	OTTHUMG00000001986	p36.21
2	OTTHUMG00000001987	p36.21
2	OTTHUMG00000001981	p36.21
2	OTTHUMG00000001982	p36.21
2	OTTHUMG00000001983	p36.21
2	OTTHUMG00000001984	p36.21
2	OTTHUMG00000001985	p36.21
2	OTTHUMG00000074726	p36.21
2	OTTHUMG00000074727	p36.21
2	OTTHUMG00000160546	p36.21
2	OTTHUMG00000009499	p36.21
2	OTTHUMG00000009500	p36.21
2	OTTHUMG00000009501	p36.21
2	OTTHUMG00000009502	p36.21
2	OTTHUMG00000009503	p36.21
2	OTTHUMG00000074740	p36.21
2	OTTHUMG00000074741	p36.21
2	OTTHUMG00000009404	p36.21
2	OTTHUMG00000009504	p36.21
2	OTTHUMG00000009505	p36.21
2	OTTHUMG00000008039	p36.21
2	OTTHUMG00000008040	p36.21
2	OTTHUMG00000008037	p36.21
2	OTTHUMG00000008036	p36.21
2	OTTHUMG00000008035	p36.21
2	OTTHUMG00000008038	p36.21
2	OTTHUMG00000008034	p36.21
2	OTTHUMG00000002932	p36.21
2	OTTHUMG00000002933	p36.21
2	OTTHUMG00000002919	p36.21
2	OTTHUMG00000007910	p36.21
2	OTTHUMG00000007913	p36.21
2	OTTHUMG00000007921	p36.21
2	OTTHUMG00000007914	p36.21
2	OTTHUMG00000007916	p36.21
2	OTTHUMG00000007919	p36.21
2	OTTHUMG00000007909	p36.21
2	OTTHUMG00000007911	p36.21
2	OTTHUMG00000007918	p36.21
2	OTTHUMG00000007920	p36.21
2	OTTHUMG00000007922	p36.21
2	OTTHUMG00000007912	p36.21
2	OTTHUMG00000007915	p36.21
2	OTTHUMG00000007917	p36.21
2	OTTHUMG00000007996	p36.21
2	OTTHUMG00000008026	p36.21
2	OTTHUMG00000002047	p36.21
2	OTTHUMG00000002044	p36.21
2	OTTHUMG00000002042	p36.21
2	OTTHUMG00000037853	p36.21
2	OTTHUMG00000002043	p36.21
2	OTTHUMG00000002046	p36.21
2	OTTHUMG00000037852	p36.21
2	OTTHUMG00000002045	p36.21
2	OTTHUMG00000002088	p36.21
2	OTTHUMG00000002089	p36.21
2	OTTHUMG00000035304	p36.21
2	OTTHUMG00000002257	p36.21
2	OTTHUMG00000002254	p36.21
2	OTTHUMG00000002255	p36.21
2	OTTHUMG00000002258	p36.21
2	OTTHUMG00000002259	p36.21
2	OTTHUMG00000002256	p36.21
2	OTTHUMG00000002358	p36.21
2	OTTHUMG00000002357	p36.21
2	OTTHUMG00000002359	p36.21
2	OTTHUMG00000002360	p36.21
2	OTTHUMG00000002361	p36.21
2	OTTHUMG00000002381	p36.21
2	OTTHUMG00000067830	p36.21
2	OTTHUMG00000003062	p36.21
2	OTTHUMG00000003064	p36.21
2	OTTHUMG00000003063	p36.21
2	OTTHUMG00000003078	p36.21
2	OTTHUMG00000003065	p36.21
2	OTTHUMG00000003079	p36.21
2	OTTHUMG00000003108	p36.21
2	OTTHUMG00000003109	p36.21
2	OTTHUMG00000003169	p36.21
2	OTTHUMG00000009375	p36.21
2	OTTHUMG00000009376	p36.21
2	OTTHUMG00000009377	p36.13
2	OTTHUMG00000009378	p36.13
2	OTTHUMG00000009380	p36.13
2	OTTHUMG00000009379	p36.13
2	OTTHUMG00000009523	p36.13
2	OTTHUMG00000009524	p36.13
2	OTTHUMG00000009531	p36.13
2	OTTHUMG00000009529	p36.13
2	OTTHUMG00000009526	p36.13
2	OTTHUMG00000009530	p36.13
2	OTTHUMG00000009525	p36.13
2	OTTHUMG00000009527	p36.13
2	OTTHUMG00000009528	p36.13
2	OTTHUMG00000035305	p36.13
2	OTTHUMG00000002220	p36.13
2	OTTHUMG00000002219	p36.13
2	OTTHUMG00000002221	p36.13
2	OTTHUMG00000002214	p36.13
2	OTTHUMG00000002216	p36.13
2	OTTHUMG00000037883	p36.13
2	OTTHUMG00000002218	p36.13
2	OTTHUMG00000002217	p36.13
2	OTTHUMG00000002215	p36.13
2	OTTHUMG00000002312	p36.13
2	OTTHUMG00000002313	p36.13
2	OTTHUMG00000002314	p36.13
2	OTTHUMG00000037885	p36.13
2	OTTHUMG00000002490	p36.13
2	OTTHUMG00000002491	p36.13
2	OTTHUMG00000002488	p36.13
2	OTTHUMG00000057481	p36.13
2	OTTHUMG00000002487	p36.13
2	OTTHUMG00000037884	p36.13
2	OTTHUMG00000002573	p36.13
2	OTTHUMG00000057487	p36.13
2	OTTHUMG00000002579	p36.13
2	OTTHUMG00000000803	p36.13
2	OTTHUMG00000057485	p36.13
2	OTTHUMG00000002578	p36.13
2	OTTHUMG00000002201	p36.13
2	OTTHUMG00000002202	p36.13
2	OTTHUMG00000002203	p36.13
2	OTTHUMG00000002204	p36.13
2	OTTHUMG00000002205	p36.13
2	OTTHUMG00000002200	p36.13
2	OTTHUMG00000002290	p36.13
2	OTTHUMG00000002292	p36.13
2	OTTHUMG00000002293	p36.13
2	OTTHUMG00000002289	p36.13
2	OTTHUMG00000002295	p36.13
2	OTTHUMG00000002291	p36.13
2	OTTHUMG00000002294	p36.13
2	OTTHUMG00000002373	p36.13
2	OTTHUMG00000002371	p36.13
2	OTTHUMG00000002372	p36.13
2	OTTHUMG00000002513	p36.13
2	OTTHUMG00000037449	p36.13
2	OTTHUMG00000002514	p36.13
2	OTTHUMG00000002515	p36.13
2	OTTHUMG00000002512	p36.13
2	OTTHUMG00000002432	p36.13
2	OTTHUMG00000002434	p36.13
2	OTTHUMG00000002437	p36.13
2	OTTHUMG00000002431	p36.13
2	OTTHUMG00000002435	p36.13
2	OTTHUMG00000002436	p36.13
2	OTTHUMG00000002433	p36.13
2	OTTHUMG00000002442	p36.13
2	OTTHUMG00000002443	p36.13
2	OTTHUMG00000002499	p36.13
2	OTTHUMG00000002498	p36.13
2	OTTHUMG00000037839	p36.13
2	OTTHUMG00000002497	p36.13
2	OTTHUMG00000002496	p36.13
2	OTTHUMG00000002520	p36.13
2	OTTHUMG00000002523	p36.13
2	OTTHUMG00000002522	p36.13
2	OTTHUMG00000002521	p36.13
2	OTTHUMG00000002556	p36.13
2	OTTHUMG00000002711	p36.13
2	OTTHUMG00000002712	p36.13
2	OTTHUMG00000002695	p36.13
2	OTTHUMG00000002700	p36.13
2	OTTHUMG00000002713	p36.13
2	OTTHUMG00000002697	p36.13
2	OTTHUMG00000002709	p36.13
2	OTTHUMG00000002710	p36.13
2	OTTHUMG00000002696	p36.13
2	OTTHUMG00000002702	p36.13
2	OTTHUMG00000002699	p36.13
2	OTTHUMG00000002698	p36.13
2	OTTHUMG00000002701	p36.12
2	OTTHUMG00000002704	p36.12
2	OTTHUMG00000002703	p36.12
2	OTTHUMG00000002705	p36.12
2	OTTHUMG00000002706	p36.12
2	OTTHUMG00000002708	p36.12
2	OTTHUMG00000002707	p36.12
2	OTTHUMG00000002835	p36.12
2	OTTHUMG00000002836	p36.12
2	OTTHUMG00000002842	p36.12
2	OTTHUMG00000002843	p36.12
2	OTTHUMG00000002837	p36.12
2	OTTHUMG00000002838	p36.12
2	OTTHUMG00000002839	p36.12
2	OTTHUMG00000057491	p36.12
2	OTTHUMG00000002845	p36.12
2	OTTHUMG00000002841	p36.12
2	OTTHUMG00000002840	p36.12
2	OTTHUMG00000002844	p36.12
2	OTTHUMG00000002863	p36.12
2	OTTHUMG00000129003	p36.12
2	OTTHUMG00000002620	p36.12
2	OTTHUMG00000002621	p36.12
2	OTTHUMG00000002622	p36.12
2	OTTHUMG00000037842	p36.12
2	OTTHUMG00000002624	p36.12
2	OTTHUMG00000002778	p36.12
2	OTTHUMG00000002779	p36.12
2	OTTHUMG00000002776	p36.12
2	OTTHUMG00000002625	p36.12
2	OTTHUMG00000002623	p36.12
2	OTTHUMG00000002777	p36.12
2	OTTHUMG00000002940	p36.12
2	OTTHUMG00000057493	p36.12
2	OTTHUMG00000002945	p36.12
2	OTTHUMG00000002941	p36.12
2	OTTHUMG00000002942	p36.12
2	OTTHUMG00000002943	p36.12
2	OTTHUMG00000002944	p36.12
2	OTTHUMG00000002948	p36.12
2	OTTHUMG00000002949	p36.12
2	OTTHUMG00000037843	p36.12
2	OTTHUMG00000007513	p36.12
2	OTTHUMG00000007798	p36.12
2	OTTHUMG00000007797	p36.12
2	OTTHUMG00000002675	p36.12
2	OTTHUMG00000002674	p36.12
2	OTTHUMG00000002673	p36.12
2	OTTHUMG00000002758	p36.12
2	OTTHUMG00000002755	p36.12
2	OTTHUMG00000002754	p36.12
2	OTTHUMG00000002757	p36.12
2	OTTHUMG00000002753	p36.12
2	OTTHUMG00000002890	p36.12
2	OTTHUMG00000002894	p36.12
2	OTTHUMG00000002895	p36.12
2	OTTHUMG00000002897	p36.12
2	OTTHUMG00000040025	p36.12
2	OTTHUMG00000002892	p36.12
2	OTTHUMG00000002893	p36.12
2	OTTHUMG00000002891	p36.12
2	OTTHUMG00000002896	p36.12
2	OTTHUMG00000002881	p36.12
2	OTTHUMG00000002880	p36.12
2	OTTHUMG00000003228	p36.12
2	OTTHUMG00000003226	p36.12
2	OTTHUMG00000003220	p36.12
2	OTTHUMG00000003222	p36.12
2	OTTHUMG00000003227	p36.12
2	OTTHUMG00000154765	p36.12
2	OTTHUMG00000003235	p36.12
2	OTTHUMG00000003221	p36.12
2	OTTHUMG00000003224	p36.12
2	OTTHUMG00000003232	p36.12
2	OTTHUMG00000003225	p36.12
2	OTTHUMG00000003233	p36.12
2	OTTHUMG00000003230	p36.12
2	OTTHUMG00000003234	p36.12
2	OTTHUMG00000003223	p36.12
2	OTTHUMG00000037485	p36.12
2	OTTHUMG00000003229	p36.12
2	OTTHUMG00000002927	p36.11
2	OTTHUMG00000002929	p36.11
2	OTTHUMG00000002926	p36.11
2	OTTHUMG00000002928	p36.11
2	OTTHUMG00000002957	p36.11
2	OTTHUMG00000002959	p36.11
2	OTTHUMG00000002960	p36.11
2	OTTHUMG00000002961	p36.11
2	OTTHUMG00000002958	p36.11
2	OTTHUMG00000002963	p36.11
2	OTTHUMG00000002965	p36.11
2	OTTHUMG00000013892	p36.11
2	OTTHUMG00000013894	p36.11
2	OTTHUMG00000013895	p36.11
2	OTTHUMG00000013896	p36.11
2	OTTHUMG00000013891	p36.11
2	OTTHUMG00000013893	p36.11
2	OTTHUMG00000013926	p36.11
2	OTTHUMG00000003034	p36.11
2	OTTHUMG00000002969	p36.11
2	OTTHUMG00000003035	p36.11
2	OTTHUMG00000003037	p36.11
2	OTTHUMG00000003041	p36.11
2	OTTHUMG00000003036	p36.11
2	OTTHUMG00000003038	p36.11
2	OTTHUMG00000003039	p36.11
2	OTTHUMG00000003040	p36.11
2	OTTHUMG00000003297	p36.11
2	OTTHUMG00000003299	p36.11
2	OTTHUMG00000003298	p36.11
2	OTTHUMG00000040037	p36.11
2	OTTHUMG00000003317	p36.11
2	OTTHUMG00000003318	p36.11
2	OTTHUMG00000003320	p36.11
2	OTTHUMG00000003327	p36.11
2	OTTHUMG00000003316	p36.11
2	OTTHUMG00000003322	p36.11
2	OTTHUMG00000003326	p36.11
2	OTTHUMG00000003319	p36.11
2	OTTHUMG00000003323	p36.11
2	OTTHUMG00000043610	p36.11
2	OTTHUMG00000043611	p36.11
2	OTTHUMG00000041621	p36.11
2	OTTHUMG00000003476	p36.11
2	OTTHUMG00000003481	p36.11
2	OTTHUMG00000007651	p36.11
2	OTTHUMG00000007650	p36.11
2	OTTHUMG00000003482	p36.11
2	OTTHUMG00000003473	p36.11
2	OTTHUMG00000007386	p36.11
2	OTTHUMG00000004419	p36.11
2	OTTHUMG00000004417	p36.11
2	OTTHUMG00000004418	p36.11
2	OTTHUMG00000007375	p36.11
2	OTTHUMG00000007376	p36.11
2	OTTHUMG00000007377	p36.11
2	OTTHUMG00000007372	p36.11
2	OTTHUMG00000007374	p36.11
2	OTTHUMG00000007373	p36.11
2	OTTHUMG00000007387	p36.11
2	OTTHUMG00000156992	p36.11
2	OTTHUMG00000007388	p36.11
2	OTTHUMG00000007389	p36.11
2	OTTHUMG00000007437	p36.11
2	OTTHUMG00000007509	p36.11
2	OTTHUMG00000007508	p36.11
2	OTTHUMG00000007510	p36.11
2	OTTHUMG00000007511	p36.11
2	OTTHUMG00000007537	p36.11
2	OTTHUMG00000007538	p36.11
2	OTTHUMG00000007539	p36.11
2	OTTHUMG00000007541	p36.11
2	OTTHUMG00000003383	p36.11
2	OTTHUMG00000003384	p36.11
2	OTTHUMG00000003380	p36.11
2	OTTHUMG00000003385	p36.11
2	OTTHUMG00000003381	p36.11
2	OTTHUMG00000003382	p36.11
2	OTTHUMG00000003491	p36.11
2	OTTHUMG00000003490	p36.11
2	OTTHUMG00000156993	p36.11
2	OTTHUMG00000003521	p36.11
2	OTTHUMG00000003550	p36.11
2	OTTHUMG00000003554	p36.11
2	OTTHUMG00000040219	p36.11
2	OTTHUMG00000003553	p36.11
2	OTTHUMG00000003552	p36.11
2	OTTHUMG00000003555	p36.11
2	OTTHUMG00000003551	p36.11
2	OTTHUMG00000004003	p36.11
2	OTTHUMG00000057505	p36.11
2	OTTHUMG00000057507	p36.11
2	OTTHUMG00000004004	p36.11
2	OTTHUMG00000004005	p36.11
2	OTTHUMG00000004092	p36.11
2	OTTHUMG00000004093	p36.11
2	OTTHUMG00000004228	p36.11
2	OTTHUMG00000004227	p36.11
2	OTTHUMG00000004229	p36.11
2	OTTHUMG00000004230	p36.11
2	OTTHUMG00000004226	p36.11
2	OTTHUMG00000004231	p36.11
2	OTTHUMG00000004272	p36.11
2	OTTHUMG00000004274	p36.11
2	OTTHUMG00000004275	p36.11
2	OTTHUMG00000004276	p36.11
2	OTTHUMG00000004277	p36.11
2	OTTHUMG00000004278	p36.11
2	OTTHUMG00000004271	p36.11
2	OTTHUMG00000005769	p36.11
2	OTTHUMG00000004279	p36.11
2	OTTHUMG00000004280	p36.11
2	OTTHUMG00000004281	p36.11
2	OTTHUMG00000004413	p36.11
2	OTTHUMG00000004273	p36.11
2	OTTHUMG00000004408	p36.11
2	OTTHUMG00000004409	p36.11
2	OTTHUMG00000004410	p36.11
2	OTTHUMG00000004411	p36.11
2	OTTHUMG00000005770	p36.11
2	OTTHUMG00000004631	p36.11
2	OTTHUMG00000005722	p36.11
2	OTTHUMG00000003395	p36.11
2	OTTHUMG00000003396	p36.11
2	OTTHUMG00000003397	p36.11
2	OTTHUMG00000003393	p36.11
2	OTTHUMG00000003394	p36.11
2	OTTHUMG00000003517	p36.11
2	OTTHUMG00000003398	p36.11
2	OTTHUMG00000003516	p36.11
2	OTTHUMG00000003515	p36.11
2	OTTHUMG00000003519	p36.11
2	OTTHUMG00000003518	p36.11
2	OTTHUMG00000042107	p36.11
2	OTTHUMG00000003514	p35.3
2	OTTHUMG00000003729	p35.3
2	OTTHUMG00000003731	p35.3
2	OTTHUMG00000003733	p35.3
2	OTTHUMG00000003730	p35.3
2	OTTHUMG00000003734	p35.3
2	OTTHUMG00000003735	p35.3
2	OTTHUMG00000003915	p35.3
2	OTTHUMG00000003910	p35.3
2	OTTHUMG00000003911	p35.3
2	OTTHUMG00000003912	p35.3
